airport,lat,long,year,total_passengers
Newark Liberty International Airport[16],40.68906405,-74.17725485035348,2012,17035098
Orlando International Airport,28.412903550000003,-81.30944309752753,2012,17159425
Miami International Airport,25.7949789,-80.28672341095405,2012,18987488
George Bush Intercontinental Airport,29.9841416,-95.33298595614491,2012,19038958
Phoenix Sky Harbor International Airport,33.43290795,-112.00942180184659,2012,19556189
McCarran International Airport,36.0861034,-115.16111989849915,2012,19941173
Charlotte Douglas International Airport,35.21074145,-80.9457435226013,2012,20032426
San Francisco International Airport[15],37.622451999999996,-122.38407160781362,2012,21284224
John F. Kennedy International Airport[14],40.642947899999996,-73.7793733748521,2012,24520943
Denver International Airport,39.8606676,-104.68536732610298,2012,25799832
Dallas/Fort Worth International Airport,32.89651945,-97.0465220537124,2012,28022877
Los Angeles International Airport,33.94216754999999,-118.42139298414197,2012,31326268
O'Hare International Airport,41.977984899999996,-87.90917993412859,2012,32171743
Hartsfield-Jackson International Airport,33.63779875,-84.42927118585675,2012,45798809
Nashville International Airport,36.11958985,-86.68308703291842,2012,NA
Dallas Love Field,32.84524055,-96.84732187569065,2012,NA
Portland International Airport,45.587132600000004,-122.59277984939183,2013,7452603
Tampa International Airport,27.9791649,-82.5349276153517,2013,8267752
San Diego International Airport,32.73336075,-117.19224641277626,2013,8878772
Philadelphia International Airport,39.875018,-75.23521278969667,2013,9668048
Ronald Reagan Washington National Airport,38.851289449999996,-77.03968893913375,2013,9838034
Salt Lake City International Airport,40.790066100000004,-111.97989846185591,2013,9915646
Washington Dulles International Airport,38.95226625,-77.45342297783296,2013,10570993
Baltimore/Washington International Airport,39.1747196,-76.67075505810189,2013,11132731
Fort Lauderdale–Hollywood International Airport,26.072017000000002,-80.15099673135214,2013,11538140
LaGuardia Airport[18],40.7757145,-73.87336398511545,2013,13372269
St. Louis Lambert International Airport,38.749571950000004,-90.37014071044965,2013,14727945
Logan International Airport,42.3630236,-71.01340798670637,2013,14810153
Detroit Metropolitan Airport,42.205699100000004,-83.35297537621658,2013,15683523
Minneapolis–Saint Paul International Airport,44.878019050000006,-93.2209280537696,2013,16280835
Orlando International Airport,28.412903550000003,-81.30944309752753,2013,16884524
Seattle–Tacoma International Airport,47.4475673,-122.3080158569515,2013,17450425
Newark Liberty International Airport[16],40.68906405,-74.17725485035348,2013,17546506
George Bush Intercontinental Airport,29.9841416,-95.33298595614491,2013,18952840
Miami International Airport,25.7949789,-80.28672341095405,2013,19420089
Phoenix Sky Harbor International Airport,33.43290795,-112.00942180184659,2013,19525109
McCarran International Airport,36.0861034,-115.16111989849915,2013,19946179
Charlotte Douglas International Airport,35.21074145,-80.9457435226013,2013,21346601
San Francisco International Airport[15],37.622451999999996,-122.38407160781362,2013,21704626
John F. Kennedy International Airport[14],40.642947899999996,-73.7793733748521,2013,25036358
Denver International Airport,39.8606676,-104.68536732610298,2013,25496885
Dallas/Fort Worth International Airport,32.89651945,-97.0465220537124,2013,29038128
O'Hare International Airport,41.977984899999996,-87.90917993412859,2013,32317835
Los Angeles International Airport,33.94216754999999,-118.42139298414197,2013,32425892
Hartsfield-Jackson International Airport,33.63779875,-84.42927118585675,2013,45308407
Nashville International Airport,36.11958985,-86.68308703291842,2013,NA
Dallas Love Field,32.84524055,-96.84732187569065,2013,NA
Dallas Love Field,32.84524055,-96.84732187569065,2014,4522341
Nashville International Airport,36.11958985,-86.68308703291842,2014,5396958
Portland International Airport,45.587132600000004,-122.59277984939183,2014,7878760
Tampa International Airport,27.9791649,-82.5349276153517,2014,8531561
San Diego International Airport,32.73336075,-117.19224641277626,2014,9333152
Ronald Reagan Washington National Airport,38.851289449999996,-77.03968893913375,2014,10057794
Philadelphia International Airport,39.875018,-75.23521278969667,2014,10139065
Salt Lake City International Airport,40.790066100000004,-111.97989846185591,2014,10318311
Washington Dulles International Airport,38.95226625,-77.45342297783296,2014,10415948
Baltimore/Washington International Airport,39.1747196,-76.67075505810189,2014,11022200
Fort Lauderdale–Hollywood International Airport,26.072017000000002,-80.15099673135214,2014,11987607
LaGuardia Airport[18],40.7757145,-73.87336398511545,2014,13415797
St. Louis Lambert International Airport,38.749571950000004,-90.37014071044965,2014,14747112
Logan International Airport,42.3630236,-71.01340798670637,2014,15425869
Detroit Metropolitan Airport,42.205699100000004,-83.35297537621658,2014,15775941
Minneapolis–Saint Paul International Airport,44.878019050000006,-93.2209280537696,2014,16972678
Orlando International Airport,28.412903550000003,-81.30944309752753,2014,17278608
Newark Liberty International Airport[16],40.68906405,-74.17725485035348,2014,17680826
Seattle–Tacoma International Airport,47.4475673,-122.3080158569515,2014,18781489
Miami International Airport,25.7949789,-80.28672341095405,2014,19468523
George Bush Intercontinental Airport,29.9841416,-95.33298595614491,2014,19772054
Phoenix Sky Harbor International Airport,33.43290795,-112.00942180184659,2014,20344867
McCarran International Airport,36.0861034,-115.16111989849915,2014,20551016
Charlotte Douglas International Airport,35.21074145,-80.9457435226013,2014,21542277
San Francisco International Airport[15],37.622451999999996,-122.38407160781362,2014,22756008
Denver International Airport,39.8606676,-104.68536732610298,2014,26000591
John F. Kennedy International Airport[14],40.642947899999996,-73.7793733748521,2014,26244928
Dallas/Fort Worth International Airport,32.89651945,-97.0465220537124,2014,30766940
O'Hare International Airport,41.977984899999996,-87.90917993412859,2014,33686811
Los Angeles International Airport,33.94216754999999,-118.42139298414197,2014,34314197
Hartsfield-Jackson International Airport,33.63779875,-84.42927118585675,2014,46604273
Nashville International Airport,36.11958985,-86.68308703291842,2015,5708852
Dallas Love Field,32.84524055,-96.84732187569065,2015,7040921
Portland International Airport,45.587132600000004,-122.59277984939183,2015,8340234
Tampa International Airport,27.9791649,-82.5349276153517,2015,9150414
San Diego International Airport,32.73336075,-117.19224641277626,2015,9985739
Washington Dulles International Airport,38.95226625,-77.45342297783296,2015,10363918
Philadelphia International Airport,39.875018,-75.23521278969667,2015,10634519
Salt Lake City International Airport,40.790066100000004,-111.97989846185591,2015,11044387
Ronald Reagan Washington National Airport,38.851289449999996,-77.03968893913375,2015,11242375
Baltimore/Washington International Airport,39.1747196,-76.67075505810189,2015,11738828
Fort Lauderdale–Hollywood International Airport,26.072017000000002,-80.15099673135214,2015,13061607
LaGuardia Airport[18],40.7757145,-73.87336398511545,2015,14762593
St. Louis Lambert International Airport,38.749571950000004,-90.37014071044965,2015,15101318
